data_referencia,mes,municipio,estado,regiao_operacional,latitude,longitude,cultura,fase_cultura,area_ha,produtividade_esperada_sc_ha,produtividade_revisada_sc_ha,preco_referencia_rs_sc,percentual_vendido,producao_esperada_sc,producao_revisada_sc,volume_vendido_sc,nino34,oni,prob_el_nino,prob_neutro,prob_la_nina,chuva_7d_mm,chuva_15d_mm,chuva_30d_mm,anomalia_temp_c,temperatura_media_c,dias_sem_chuva,umidade_solo_pct,ndvi_atual,ndvi_anterior,variacao_ndvi_pct,irea_indice_risco_enso_agricola,risco_produtivo,risco_comercial_score,risco_comercial,risco_entrega_sc,valor_producao_revisada_rs,recomendacao
2026-07-01,07/2026,Rio Verde,GO,Sudoeste Goiano,-17.792,-50.919,Milho safrinha,maturacao/colheita,380,115,106.9,60,0.7,43700,40622.0,30590.0,1.15,1.05,0.92,0.06,0.02,6.9,23.5,35.9,1.72,27.48,11,14.4,0.63,0.645,-2.3,64.4,Alto,71.9,Alto,2155,2437320.0,Priorizar vistoria e acompanhar nova rodada climática antes de acelerar venda futura.
2026-08-01,08/2026,Rio Verde,GO,Sudoeste Goiano,-17.792,-50.919,Milho safrinha,pos-colheita/comercializacao,380,115,105.1,60,0.7,43700,39938.0,30590.0,1.25,1.15,0.94,0.05,0.01,2.7,1.2,15.9,1.91,27.43,22,8.0,0.658,0.677,-2.9,71.0,Alto,76.6,Alto,2633,2396280.0,Priorizar vistoria e acompanhar nova rodada climática antes de acelerar venda futura.
2026-09-01,09/2026,Rio Verde,GO,Sudoeste Goiano,-17.792,-50.919,Milho safrinha,planejamento,380,115,105.2,60,0.7,43700,39976.0,30590.0,1.35,1.25,0.95,0.04,0.01,0.8,13.3,26.3,1.39,27.43,25,8.0,0.619,0.634,-2.2,70.5,Alto,76.2,Alto,2607,2398560.0,Priorizar vistoria e acompanhar nova rodada climática antes de acelerar venda futura.
2026-10-01,10/2026,Rio Verde,GO,Sudoeste Goiano,-17.792,-50.919,Milho safrinha,planejamento,380,115,108.4,60,0.7,43700,41192.0,30590.0,1.45,1.35,0.96,0.03,0.01,15.9,34.0,54.5,1.3,26.75,14,12.3,0.649,0.719,-9.7,58.8,Alto,67.9,Alto,1756,2471520.0,Priorizar vistoria e acompanhar nova rodada climática antes de acelerar venda futura.
2026-11-01,11/2026,Rio Verde,GO,Sudoeste Goiano,-17.792,-50.919,Milho safrinha,planejamento,380,115,111.4,60,0.7,43700,42332.0,30590.0,1.55,1.45,0.96,0.03,0.01,26.8,52.3,106.1,2.07,27.14,7,23.7,0.667,0.659,1.2,48.0,Moderado,60.1,Moderado,958,2539920.0,"Manter acompanhamento semanal, checar umidade do solo e vender apenas com margem de segurança."
2026-12-01,12/2026,Rio Verde,GO,Sudoeste Goiano,-17.792,-50.919,Milho safrinha,planejamento de janela,380,115,112.4,60,0.7,43700,42712.0,30590.0,1.65,1.55,0.96,0.03,0.01,37.5,76.1,153.9,1.5,26.76,6,40.3,0.622,0.641,-3.1,44.5,Moderado,57.6,Moderado,692,2562720.0,"Manter acompanhamento semanal, checar umidade do solo e vender apenas com margem de segurança."
2027-01-01,01/2027,Rio Verde,GO,Sudoeste Goiano,-17.792,-50.919,Milho safrinha,pre-safrinha,380,115,112.8,60,0.7,43700,42864.0,30590.0,1.5,1.45,0.93,0.05,0.02,36.9,88.3,162.3,0.77,27.08,5,39.7,0.673,0.671,0.3,42.9,Moderado,56.4,Moderado,585,2571840.0,"Manter acompanhamento semanal, checar umidade do solo e vender apenas com margem de segurança."
2027-02-01,02/2027,Rio Verde,GO,Sudoeste Goiano,-17.792,-50.919,Milho safrinha,plantio safrinha,380,115,108.7,60,0.7,43700,41306.0,30590.0,1.3,1.25,0.88,0.09,0.03,32.1,72.8,137.1,2.77,29.05,5,34.2,0.612,0.647,-5.4,57.7,Alto,67.1,Alto,1676,2478360.0,Priorizar vistoria e acompanhar nova rodada climática antes de acelerar venda futura.
2026-06-01,06/2026,Jataí,GO,Sudoeste Goiano,-17.879,-51.721,Soja,entressafra/preparo,520,60,58.5,120,0.3,31200,30420.0,9360.0,1.05,0.95,0.9,0.08,0.02,20.0,31.5,68.4,1.6,28.09,11,18.7,0.701,0.694,1.0,49.1,Moderado,41.3,Baixo,234,3650400.0,"Manter acompanhamento semanal, checar umidade do solo e vender apenas com margem de segurança."
2026-07-01,07/2026,Jataí,GO,Sudoeste Goiano,-17.879,-51.721,Soja,entressafra/preparo,520,60,57.1,120,0.3,31200,29692.0,9360.0,1.15,1.05,0.92,0.06,0.02,7.9,14.0,27.7,1.87,28.37,14,15.4,0.695,0.778,-10.7,61.5,Alto,48.8,Moderado,452,3563040.0,Priorizar vistoria e acompanhar nova rodada climática antes de acelerar venda futura.
2026-08-01,08/2026,Jataí,GO,Sudoeste Goiano,-17.879,-51.721,Soja,preparo e planejamento,520,60,56.0,120,0.3,31200,29120.0,9360.0,1.25,1.15,0.94,0.05,0.01,2.7,8.0,23.6,2.12,27.99,24,8.6,0.685,0.679,0.9,72.0,Alto,55.1,Moderado,624,3494400.0,Priorizar vistoria e acompanhar nova rodada climática antes de acelerar venda futura.
2026-09-01,09/2026,Jataí,GO,Sudoeste Goiano,-17.879,-51.721,Soja,pre-plantio,520,60,55.6,120,0.3,31200,28912.0,9360.0,1.35,1.25,0.95,0.04,0.01,5.2,3.2,10.4,1.45,26.7,21,8.0,0.659,0.678,-2.8,75.8,Alto,57.4,Moderado,686,3469440.0,Priorizar vistoria e acompanhar nova rodada climática antes de acelerar venda futura.
2026-10-01,10/2026,Jataí,GO,Sudoeste Goiano,-17.879,-51.721,Soja,plantio/emergencia,520,60,56.5,120,0.3,31200,29380.0,9360.0,1.45,1.35,0.96,0.03,0.01,17.5,28.4,65.5,1.24,27.89,14,14.4,0.669,0.697,-4.0,67.8,Alto,52.5,Moderado,546,3525600.0,Priorizar vistoria e acompanhar nova rodada climática antes de acelerar venda futura.
2026-11-01,11/2026,Jataí,GO,Sudoeste Goiano,-17.879,-51.721,Soja,desenvolvimento vegetativo,520,60,58.1,120,0.3,31200,30212.0,9360.0,1.55,1.45,0.96,0.03,0.01,41.5,64.8,119.6,2.34,29.02,8,30.7,0.707,0.741,-4.6,52.4,Moderado,43.3,Baixo,296,3625440.0,"Manter acompanhamento semanal, checar umidade do solo e vender apenas com margem de segurança."
2026-12-01,12/2026,Jataí,GO,Sudoeste Goiano,-17.879,-51.721,Soja,florescimento,520,60,57.8,120,0.3,31200,30056.0,9360.0,1.65,1.55,0.96,0.03,0.01,31.8,68.0,133.0,1.32,28.71,2,36.0,0.67,0.674,-0.5,55.4,Moderado,45.1,Moderado,343,3606720.0,"Manter acompanhamento semanal, checar umidade do solo e vender apenas com margem de segurança."
2027-01-01,01/2027,Jataí,GO,Sudoeste Goiano,-17.879,-51.721,Soja,enchimento de graos,520,60,58.2,120,0.3,31200,30264.0,9360.0,1.5,1.45,0.93,0.05,0.02,39.2,88.6,169.8,0.92,27.33,3,41.4,0.717,0.715,0.2,52.0,Moderado,43.0,Baixo,281,3631680.0,"Manter acompanhamento semanal, checar umidade do solo e vender apenas com margem de segurança."
2027-02-01,02/2027,Jataí,GO,Sudoeste Goiano,-17.879,-51.721,Soja,maturacao/colheita,520,60,58.5,120,0.3,31200,30420.0,9360.0,1.3,1.25,0.88,0.09,0.03,32.5,83.4,154.3,2.35,27.95,9,32.3,0.718,0.745,-3.7,48.5,Moderado,40.9,Baixo,234,3650400.0,"Manter acompanhamento semanal, checar umidade do solo e vender apenas com margem de segurança."
2026-06-01,06/2026,Jataí,GO,Sudoeste Goiano,-17.879,-51.721,Milho safrinha,enchimento de graos,450,115,106.2,60,0.3,51750,47790.0,15525.0,1.05,0.95,0.9,0.08,0.02,15.4,28.2,65.8,1.38,26.99,11,20.5,0.587,0.625,-6.1,66.9,Alto,52.6,Moderado,1188,2867400.0,Priorizar vistoria e acompanhar nova rodada climática antes de acelerar venda futura.
2026-07-01,07/2026,Jataí,GO,Sudoeste Goiano,-17.879,-51.721,Milho safrinha,maturacao/colheita,450,115,108.3,60,0.3,51750,48735.0,15525.0,1.15,1.05,0.92,0.06,0.02,9.0,33.3,54.1,1.68,28.44,12,17.9,0.653,0.645,1.3,59.2,Alto,47.8,Moderado,904,2924100.0,Priorizar vistoria e acompanhar nova rodada climática antes de acelerar venda futura.
2026-08-01,08/2026,Jataí,GO,Sudoeste Goiano,-17.879,-51.721,Milho safrinha,pos-colheita/comercializacao,450,115,105.1,60,0.3,51750,47295.0,15525.0,1.25,1.15,0.94,0.05,0.01,1.3,0.0,17.5,1.94,27.19,26,8.0,0.6,0.618,-3.0,71.0,Alto,55.1,Moderado,1336,2837700.0,Priorizar vistoria e acompanhar nova rodada climática antes de acelerar venda futura.
2026-09-01,09/2026,Jataí,GO,Sudoeste Goiano,-17.879,-51.721,Milho safrinha,planejamento,450,115,106.8,60,0.3,51750,48060.0,15525.0,1.35,1.25,0.95,0.04,0.01,12.7,12.0,37.0,1.4,26.81,21,11.8,0.608,0.625,-2.7,64.7,Alto,51.2,Moderado,1107,2883600.0,Priorizar vistoria e acompanhar nova rodada climática antes de acelerar venda futura.
2026-10-01,10/2026,Jataí,GO,Sudoeste Goiano,-17.879,-51.721,Milho safrinha,planejamento,450,115,108.2,60,0.3,51750,48690.0,15525.0,1.45,1.35,0.96,0.03,0.01,17.4,32.6,61.5,1.5,26.76,16,11.1,0.629,0.658,-4.5,59.8,Alto,48.2,Moderado,918,2921400.0,Priorizar vistoria e acompanhar nova rodada climática antes de acelerar venda futura.
2026-11-01,11/2026,Jataí,GO,Sudoeste Goiano,-17.879,-51.721,Milho safrinha,planejamento,450,115,112.1,60,0.3,51750,50445.0,15525.0,1.55,1.45,0.96,0.03,0.01,28.8,58.0,117.5,2.08,27.73,8,29.7,0.643,0.68,-5.5,45.5,Moderado,39.3,Baixo,392,3026700.0,"Manter acompanhamento semanal, checar umidade do solo e vender apenas com margem de segurança."
2026-12-01,12/2026,Jataí,GO,Sudoeste Goiano,-17.879,-51.721,Milho safrinha,planejamento de janela,450,115,112.2,60,0.3,51750,50490.0,15525.0,1.65,1.55,0.96,0.03,0.01,37.6,78.3,142.8,1.09,26.75,7,36.4,0.66,0.678,-2.6,45.0,Moderado,39.0,Baixo,378,3029400.0,"Manter acompanhamento semanal, checar umidade do solo e vender apenas com margem de segurança."
2027-01-01,01/2027,Jataí,GO,Sudoeste Goiano,-17.879,-51.721,Milho safrinha,pre-safrinha,450,115,112.6,60,0.3,51750,50670.0,15525.0,1.5,1.45,0.93,0.05,0.02,44.5,86.2,171.5,1.05,26.92,7,42.2,0.684,0.731,-6.5,43.7,Moderado,38.2,Baixo,324,3040200.0,"Manter acompanhamento semanal, checar umidade do solo e vender apenas com margem de segurança."
2027-02-01,02/2027,Jataí,GO,Sudoeste Goiano,-17.879,-51.721,Milho safrinha,plantio safrinha,450,115,108.7,60,0.3,51750,48915.0,15525.0,1.3,1.25,0.88,0.09,0.03,32.9,73.7,135.2,2.38,28.3,8,33.3,0.616,0.683,-9.9,57.8,Alto,46.9,Moderado,850,2934900.0,Priorizar vistoria e acompanhar nova rodada climática antes de acelerar venda futura.
2026-06-01,06/2026,Montividiu,GO,Sudoeste Goiano,-17.443,-51.172,Soja,entressafra/preparo,900,60,58.0,120,0.3,54000,52200.0,16200.0,1.05,0.95,0.9,0.08,0.02,15.7,19.4,48.9,1.7,28.07,9,16.4,0.691,0.708,-2.4,53.7,Moderado,44.0,Baixo,540,6264000.0,"Manter acompanhamento semanal, checar umidade do solo e vender apenas com margem de segurança."
2026-07-01,07/2026,Montividiu,GO,Sudoeste Goiano,-17.443,-51.172,Soja,entressafra/preparo,900,60,56.9,120,0.3,54000,51210.0,16200.0,1.15,1.05,0.92,0.06,0.02,6.8,19.9,28.9,1.59,27.4,14,9.8,0.678,0.699,-3.0,63.5,Alto,50.0,Moderado,837,6145200.0,Priorizar vistoria e acompanhar nova rodada climática antes de acelerar venda futura.
2026-08-01,08/2026,Montividiu,GO,Sudoeste Goiano,-17.443,-51.172,Soja,preparo e planejamento,900,60,56.0,120,0.3,54000,50400.0,16200.0,1.25,1.15,0.94,0.05,0.01,3.6,8.0,20.2,2.06,27.19,20,8.0,0.682,0.705,-3.2,71.6,Alto,54.9,Moderado,1080,6048000.0,Priorizar vistoria e acompanhar nova rodada climática antes de acelerar venda futura.
2026-09-01,09/2026,Montividiu,GO,Sudoeste Goiano,-17.443,-51.172,Soja,pre-plantio,900,60,56.4,120,0.3,54000,50760.0,16200.0,1.35,1.25,0.95,0.04,0.01,8.8,23.7,37.3,1.4,26.8,20,10.7,0.7,0.694,0.8,68.7,Alto,53.1,Moderado,972,6091200.0,Priorizar vistoria e acompanhar nova rodada climática antes de acelerar venda futura.
2026-10-01,10/2026,Montividiu,GO,Sudoeste Goiano,-17.443,-51.172,Soja,plantio/emergencia,900,60,57.1,120,0.3,54000,51390.0,16200.0,1.45,1.35,0.96,0.03,0.01,17.1,43.9,69.7,1.2,27.61,11,20.8,0.702,0.719,-2.4,61.8,Alto,48.9,Moderado,783,6166800.0,Priorizar vistoria e acompanhar nova rodada climática antes de acelerar venda futura.
2026-11-01,11/2026,Montividiu,GO,Sudoeste Goiano,-17.443,-51.172,Soja,desenvolvimento vegetativo,900,60,57.5,120,0.3,54000,51750.0,16200.0,1.55,1.45,0.96,0.03,0.01,28.5,56.3,108.0,2.56,29.14,11,23.2,0.729,0.748,-2.6,58.0,Alto,46.6,Moderado,675,6210000.0,Priorizar vistoria e acompanhar nova rodada climática antes de acelerar venda futura.
2026-12-01,12/2026,Montividiu,GO,Sudoeste Goiano,-17.443,-51.172,Soja,florescimento,900,60,57.8,120,0.3,54000,52020.0,16200.0,1.65,1.55,0.96,0.03,0.01,37.4,79.0,159.7,1.15,25.88,4,36.1,0.714,0.738,-3.2,55.5,Moderado,45.1,Moderado,594,6242400.0,"Manter acompanhamento semanal, checar umidade do solo e vender apenas com margem de segurança."
2027-01-01,01/2027,Montividiu,GO,Sudoeste Goiano,-17.443,-51.172,Soja,enchimento de graos,900,60,58.4,120,0.3,54000,52560.0,16200.0,1.5,1.45,0.93,0.05,0.02,42.5,96.7,176.9,0.88,27.18,2,47.8,0.748,0.752,-0.4,49.6,Moderado,41.6,Baixo,432,6307200.0,"Manter acompanhamento semanal, checar umidade do solo e vender apenas com margem de segurança."
2027-02-01,02/2027,Montividiu,GO,Sudoeste Goiano,-17.443,-51.172,Soja,maturacao/colheita,900,60,58.4,120,0.3,54000,52560.0,16200.0,1.3,1.25,0.88,0.09,0.03,29.6,69.0,119.6,2.61,27.65,6,29.0,0.72,0.724,-0.5,49.8,Moderado,41.7,Baixo,432,6307200.0,"Manter acompanhamento semanal, checar umidade do solo e vender apenas com margem de segurança."
2026-06-01,06/2026,Montividiu,GO,Sudoeste Goiano,-17.443,-51.172,Milho safrinha,enchimento de graos,900,115,105.4,60,0.7,103500,94860.0,72450.0,1.05,0.95,0.9,0.08,0.02,15.5,27.7,63.6,1.53,27.84,9,15.9,0.575,0.622,-7.6,69.9,Alto,75.8,Alto,6048,5691600.0,Priorizar vistoria e acompanhar nova rodada climática antes de acelerar venda futura.
2026-07-01,07/2026,Montividiu,GO,Sudoeste Goiano,-17.443,-51.172,Milho safrinha,maturacao/colheita,900,115,107.4,60,0.7,103500,96660.0,72450.0,1.15,1.05,0.92,0.06,0.02,14.2,16.0,38.0,1.83,28.54,14,19.1,0.671,0.679,-1.3,62.7,Alto,70.6,Alto,4788,5799600.0,Priorizar vistoria e acompanhar nova rodada climática antes de acelerar venda futura.
2026-08-01,08/2026,Montividiu,GO,Sudoeste Goiano,-17.443,-51.172,Milho safrinha,pos-colheita/comercializacao,900,115,105.3,60,0.7,103500,94770.0,72450.0,1.25,1.15,0.94,0.05,0.01,10.8,17.1,26.7,1.76,28.17,25,8.0,0.583,0.547,6.6,70.0,Alto,75.9,Alto,6111,5686200.0,Priorizar vistoria e acompanhar nova rodada climática antes de acelerar venda futura.
2026-09-01,09/2026,Montividiu,GO,Sudoeste Goiano,-17.443,-51.172,Milho safrinha,planejamento,900,115,105.7,60,0.7,103500,95130.0,72450.0,1.35,1.25,0.95,0.04,0.01,9.9,14.8,21.6,1.42,28.4,18,8.0,0.614,0.639,-3.9,68.7,Alto,74.9,Alto,5859,5707800.0,Priorizar vistoria e acompanhar nova rodada climática antes de acelerar venda futura.
2026-10-01,10/2026,Montividiu,GO,Sudoeste Goiano,-17.443,-51.172,Milho safrinha,planejamento,900,115,110.5,60,0.7,103500,99450.0,72450.0,1.45,1.35,0.96,0.03,0.01,15.9,23.3,64.7,0.77,27.17,12,16.6,0.636,0.624,1.8,51.4,Moderado,62.5,Moderado,2835,5967000.0,"Manter acompanhamento semanal, checar umidade do solo e vender apenas com margem de segurança."
2026-11-01,11/2026,Montividiu,GO,Sudoeste Goiano,-17.443,-51.172,Milho safrinha,planejamento,900,115,112.0,60,0.7,103500,100800.0,72450.0,1.55,1.45,0.96,0.03,0.01,25.7,64.3,114.4,2.33,28.01,5,28.3,0.633,0.634,-0.2,46.0,Moderado,58.6,Moderado,1890,6048000.0,"Manter acompanhamento semanal, checar umidade do solo e vender apenas com margem de segurança."
2026-12-01,12/2026,Montividiu,GO,Sudoeste Goiano,-17.443,-51.172,Milho safrinha,planejamento de janela,900,115,111.9,60,0.7,103500,100710.0,72450.0,1.65,1.55,0.96,0.03,0.01,32.4,77.0,129.2,1.13,27.26,5,32.0,0.673,0.707,-4.8,46.4,Moderado,58.9,Moderado,1953,6042600.0,"Manter acompanhamento semanal, checar umidade do solo e vender apenas com margem de segurança."
2027-01-01,01/2027,Montividiu,GO,Sudoeste Goiano,-17.443,-51.172,Milho safrinha,pre-safrinha,900,115,113.2,60,0.7,103500,101880.0,72450.0,1.5,1.45,0.93,0.05,0.02,38.0,77.8,155.2,0.52,25.61,7,42.3,0.661,0.691,-4.3,41.6,Moderado,55.5,Moderado,1134,6112800.0,"Manter acompanhamento semanal, checar umidade do solo e vender apenas com margem de segurança."
2027-02-01,02/2027,Montividiu,GO,Sudoeste Goiano,-17.443,-51.172,Milho safrinha,plantio safrinha,900,115,109.3,60,0.7,103500,98370.0,72450.0,1.3,1.25,0.88,0.09,0.03,37.8,87.1,137.8,2.27,27.7,4,33.8,0.622,0.601,3.4,55.5,Moderado,65.5,Alto,3591,5902200.0,"Manter acompanhamento semanal, checar umidade do solo e vender apenas com margem de segurança."
2026-06-01,06/2026,Mineiros,GO,Sudoeste Goiano,-17.569,-52.551,Soja,entressafra/preparo,750,60,58.0,120,0.3,45000,43500.0,13500.0,1.05,0.95,0.9,0.08,0.02,18.1,21.7,52.2,1.72,27.72,10,16.9,0.692,0.745,-7.1,53.2,Moderado,43.8,Baixo,450,5220000.0,"Manter acompanhamento semanal, checar umidade do solo e vender apenas com margem de segurança."
2026-07-01,07/2026,Mineiros,GO,Sudoeste Goiano,-17.569,-52.551,Soja,entressafra/preparo,750,60,57.7,120,0.3,45000,43275.0,13500.0,1.15,1.05,0.92,0.06,0.02,9.4,15.5,39.9,1.58,26.75,15,19.0,0.674,0.703,-4.1,56.4,Alto,45.7,Moderado,518,5193000.0,Priorizar vistoria e acompanhar nova rodada climática antes de acelerar venda futura.
2026-08-01,08/2026,Mineiros,GO,Sudoeste Goiano,-17.569,-52.551,Soja,preparo e planejamento,750,60,56.0,120,0.3,45000,42000.0,13500.0,1.25,1.15,0.94,0.05,0.01,1.3,3.9,12.1,1.78,27.81,21,8.0,0.685,0.694,-1.3,72.2,Alto,55.2,Moderado,900,5040000.0,Priorizar vistoria e acompanhar nova rodada climática antes de acelerar venda futura.
2026-09-01,09/2026,Mineiros,GO,Sudoeste Goiano,-17.569,-52.551,Soja,pre-plantio,750,60,55.8,120,0.3,45000,41850.0,13500.0,1.35,1.25,0.95,0.04,0.01,6.2,5.3,15.8,1.53,26.94,21,9.5,0.642,0.67,-4.3,74.2,Alto,56.4,Moderado,945,5022000.0,Priorizar vistoria e acompanhar nova rodada climática antes de acelerar venda futura.
2026-10-01,10/2026,Mineiros,GO,Sudoeste Goiano,-17.569,-52.551,Soja,plantio/emergencia,750,60,57.0,120,0.3,45000,42750.0,13500.0,1.45,1.35,0.96,0.03,0.01,12.5,33.6,59.0,0.65,25.67,12,19.3,0.677,0.708,-4.4,62.9,Alto,49.6,Moderado,675,5130000.0,Priorizar vistoria e acompanhar nova rodada climática antes de acelerar venda futura.
2026-11-01,11/2026,Mineiros,GO,Sudoeste Goiano,-17.569,-52.551,Soja,desenvolvimento vegetativo,750,60,58.1,120,0.3,45000,43575.0,13500.0,1.55,1.45,0.96,0.03,0.01,21.4,51.7,100.0,2.04,28.07,5,25.2,0.74,0.741,-0.1,52.4,Moderado,43.3,Baixo,428,5229000.0,"Manter acompanhamento semanal, checar umidade do solo e vender apenas com margem de segurança."
2026-12-01,12/2026,Mineiros,GO,Sudoeste Goiano,-17.569,-52.551,Soja,florescimento,750,60,57.6,120,0.3,45000,43200.0,13500.0,1.65,1.55,0.96,0.03,0.01,38.5,71.1,147.5,1.66,26.18,4,37.3,0.703,0.728,-3.3,56.9,Alto,46.0,Moderado,540,5184000.0,Priorizar vistoria e acompanhar nova rodada climática antes de acelerar venda futura.
2027-01-01,01/2027,Mineiros,GO,Sudoeste Goiano,-17.569,-52.551,Soja,enchimento de graos,750,60,57.6,120,0.3,45000,43200.0,13500.0,1.5,1.45,0.93,0.05,0.02,38.2,80.8,154.6,1.39,27.54,5,35.7,0.696,0.7,-0.6,57.1,Alto,46.1,Moderado,540,5184000.0,Priorizar vistoria e acompanhar nova rodada climática antes de acelerar venda futura.
2027-02-01,02/2027,Mineiros,GO,Sudoeste Goiano,-17.569,-52.551,Soja,maturacao/colheita,750,60,58.6,120,0.3,45000,43950.0,13500.0,1.3,1.25,0.88,0.09,0.03,35.5,69.9,138.6,2.82,29.34,7,35.5,0.711,0.675,5.3,48.1,Moderado,40.7,Baixo,315,5274000.0,"Manter acompanhamento semanal, checar umidade do solo e vender apenas com margem de segurança."
2026-06-01,06/2026,Mineiros,GO,Sudoeste Goiano,-17.569,-52.551,Milho safrinha,enchimento de graos,750,115,104.8,60,0.5,86250,78600.0,43125.0,1.05,0.95,0.9,0.08,0.02,11.2,16.1,48.9,1.5,28.51,8,16.3,0.63,0.59,6.8,71.8,Alto,66.4,Alto,3825,4716000.0,Priorizar vistoria e acompanhar nova rodada climática antes de acelerar venda futura.
2026-07-01,07/2026,Mineiros,GO,Sudoeste Goiano,-17.569,-52.551,Milho safrinha,maturacao/colheita,750,115,106.4,60,0.5,86250,79800.0,43125.0,1.15,1.05,0.92,0.06,0.02,4.8,23.2,37.1,2.09,28.29,13,14.6,0.677,0.696,-2.8,66.2,Alto,62.6,Moderado,3225,4788000.0,Priorizar vistoria e acompanhar nova rodada climática antes de acelerar venda futura.
